estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
110608214.0,0.2099,-1,1,1,42,42,42,42,6,5,15,16,0,21,110608193.0,184.36726873289396,5267056.80952381
195772701.0,0.0727,-1,3,1,17,17,17,7,2,2,1,2,0,25,195772676.0,326.32368893911666,7830907.04
203779046.0,1.9046,-1,1,1,676,673,673,384,321,30,29,4,0,24,203779022.0,339.6690669306957,8490792.583333334
796676017.0,0.1014,-1,1,1,13,13,13,13,1,5,3,4,0,25,796675992.0,1327.9393933332667,31867039.68
1544591979.0,0.1032,-1,1,1,22,22,22,22,4,5,5,7,1,28,1544591951.0,2574.6031246770476,55163998.25
217382286.0,0.0979,-1,1,1,24,24,24,19,1,5,5,7,1,30,217382256.0,362.3436177979578,7246075.2
0.0,0.1177,-1,7,0,17,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1147119570.0,23.2477,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0,24,1147119546.0,1912.0762383862225,47796647.75
1082108154.0,44.7484,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0,21,1082108133.0,1803.7119633159648,51528958.71428572
1259991651.0,0.1408,-1,1,1,17,17,17,17,6,4,3,4,0,25,1259991626.0,2100.2170672107263,50399665.04
-1111197723.0,0.0462,-1,1,1,1,1,1,1,0,0,0,0,1,25,1111197748.0,1852.1999886654198,44447909.92
780982692.0,4.1726,-1,1,1,5401,693,693,693,484,152,48,9,0,25,780982667.0,1301.7809742404997,31239306.68
822327646.0,4.4011,-1,1,1,5497,720,720,720,482,172,58,8,0,25,822327621.0,1370.6968116492815,32893104.84
-2083256476.0,3.6138,-1,1,1,5401,524,524,524,240,254,27,3,0,25,2083256501.0,3472.4761407088113,83330260.04
998129479.0,70.2203,3,1,1,360,162,162,162,0,0,0,162,0,32,998129447.0,1663.7320888631082,31191545.21875
76842569.0,1.3328,-1,54,36,17,17,612,160,21,31,45,63,0,26,76842543.0,128.08499434937843,2955482.423076923
575862765.0,0.2009,-1,1,1,17,17,17,12,4,2,2,4,0,25,575862740.0,959.8768197835095,23034509.6
431682832.0,21.321,-1,1,1,19208,4413,4413,2698,1045,1629,7,17,0,25,431682807.0,719.550495554511,17267312.28
-1887458945.0,0.211,-1,7,7,13,13,91,49,7,7,7,28,0,25,1887458970.0,3146.1110222124435,75498358.8
796493739.0,0.1902,-1,1,1,17,17,17,17,6,4,3,4,0,25,796493714.0,1327.6355632452903,31859748.56
436621643.0,10.2962,-1,21,21,5401,606,12726,1849,58,1686,84,21,0,25,436621618.0,727.7827527694714,17464864.72
-1108310825.0,18.8489,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0,31,1108310856.0,1847.3879726769944,35751963.09677419
593619730.0,61.4968,3,1,1,425,102,102,102,0,0,0,102,0,31,593619699.0,989.4750072507976,19149022.548387095
1069555726.0,63.4042,3,1,1,425,204,204,204,0,0,0,204,0,26,1069555700.0,1782.788940116746,41136757.692307696
-1762790700.0,0.1022,-1,21,7,1,1,7,7,0,0,0,0,7,25,1762790725.0,2938.3077555197738,70511629.0
680363512.0,6.6252,-1,1,1,5401,590,590,282,98,139,36,9,0,25,680363487.0,1134.063892028123,27214539.48
-722854634.0,5.015,-1,1,1,8257,196,196,196,150,28,15,3,0,25,722854659.0,1204.8903029333226,28914186.36
-579389858.0,12.8526,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0,28,579389886.0,965.7560431647481,20692495.92857143
747939774.0,3.7869,-1,1,1,5401,675,675,312,117,159,26,10,0,25,747939749.0,1246.7033857057609,29917589.96
163259679.0,3.1041,-1,1,1,946,937,937,623,351,253,16,3,0,20,163259659.0,272.1293658969153,8162982.95
178850369.0,43.5933,-1,1,1,110214,2260,2260,765,67,173,457,68,0,24,178850345.0,298.1167011704621,7452097.708333333
973201655.0,2.5645,-1,1,1,5497,128,128,128,60,42,21,5,0,25,973201630.0,1622.181156593892,38928065.2
-2674032.0,3.5589,-1,1,1,4849,546,546,546,499,0,38,9,0,25,2674057.0,4.457251964382749,106962.28
791279379.0,0.1126,-1,1,1,17,17,17,17,1,5,8,3,0,25,791279354.0,1318.9440071741226,31651174.16
1057487373.0,71.5457,3,1,1,360,162,162,162,0,0,0,162,0,31,1057487342.0,1762.672797341041,34112494.90322581
790791935.0,0.3369,-1,1,1,17,17,17,17,6,4,3,4,0,25,790791910.0,1318.1315111328913,31631676.4
1315489818.0,65.855,3,1,1,360,198,198,198,0,0,0,198,0,30,1315489788.0,2192.7241796597627,43849659.6
475501575.0,0.1934,-1,3,3,17,17,51,19,4,2,6,7,0,25,475501550.0,792.5897682078362,19020062.0
